*LECROYWR64MXi, 11588,Waveform
*Segments,1,SegmentSize,20002
*Segment,TrigTime,TimeSinceSegment1
*#1,06-Dec-2010 17:50:52,0                 
*Time,Ampl
START_DATA SHIFT_FIRST_TO_ZERO FORMAT=CSV
-4.0005185e-007, 0.000307188
-3.9995185e-007, -0.159687
-3.9985185e-007, -0.159687
-3.9975185e-007, -0.159687
-3.9965185e-007, 0.000307188
-3.9955185e-007, -0.319681
-3.9945185e-007, 0.000307188
-3.9935185e-007, 0.000307188
-3.9925185e-007, -0.159687
-3.9915185e-007, -0.159687
-3.9905185e-007, 0.000307188
-3.9895185e-007, -0.159687
-3.9885185e-007, -0.159687
-3.9875185e-007, 0.000307188
-3.9865185e-007, -0.159687
-3.9855185e-007, -0.159687
-3.9845185e-007, -0.159687
-3.9835185e-007, 0.000307188
-3.9825185e-007, 0.160301
-3.9815185e-007, 0.000307188
-3.9805185e-007, 0.000307188
-3.9795185e-007, -0.159687
-3.9785185e-007, 0.000307188
-3.9775185e-007, 0.000307188
-3.9765185e-007, 0.000307188
-3.9755185e-007, 0.000307188
-3.9745185e-007, 0.000307188
-3.9735185e-007, 0.000307188
-3.9725185e-007, 0.320295
-3.9715185e-007, 0.000307188
-3.9705185e-007, 0.000307188
-3.9695185e-007, 0.000307188
-3.9685185e-007, 0.000307188
-3.9675185e-007, 0.000307188
-3.9665185e-007, 0.000307188
-3.9655185e-007, -0.319681
-3.9645185e-007, 0.000307188
-3.9635185e-007, 0.000307188
-3.9625185e-007, -0.159687
-3.9615185e-007, -0.159687
-3.9605185e-007, 0.000307188
-3.9595185e-007, 0.000307188
-3.9585185e-007, 0.000307188
-3.9575185e-007, 0.000307188
-3.9565185e-007, 0.000307188
-3.9555185e-007, 0.000307188
-3.9545185e-007, 0.000307188
-3.9535185e-007, 0.000307188
-3.9525185e-007, 0.000307188
-3.9515185e-007, 0.160301
-3.9505185e-007, -0.159687
-3.9495185e-007, -0.159687
-3.9485185e-007, 0.000307188
-3.9475185e-007, -0.159687
-3.9465185e-007, -0.159687
-3.9455185e-007, 0.160301
-3.9445185e-007, -0.159687
-3.9435185e-007, -0.159687
-3.9425185e-007, 0.000307188
-3.9415185e-007, -0.159687
-3.9405185e-007, 0.000307188
-3.9395185e-007, 0.000307188
-3.9385185e-007, -0.159687
-3.9375185e-007, 0.000307188
-3.9365185e-007, -0.159687
-3.9355185e-007, -0.159687
-3.9345185e-007, 0.160301
-3.9335185e-007, 0.160301
-3.9325185e-007, 0.000307188
-3.9315185e-007, 0.000307188
-3.9305185e-007, 0.000307188
-3.9295185e-007, -0.159687
-3.9285185e-007, 0.000307188
-3.9275185e-007, 0.000307188
-3.9265185e-007, -0.159687
-3.9255185e-007, 0.000307188
-3.9245185e-007, 0.000307188
-3.9235185e-007, -0.159687
-3.9225185e-007, 0.160301
-3.9215185e-007, 0.000307188
-3.9205185e-007, -0.159687
-3.9195185e-007, 0.000307188
-3.9185185e-007, 0.000307188
-3.9175185e-007, 0.000307188
-3.9165185e-007, 0.000307188
-3.9155185e-007, -0.319681
-3.9145185e-007, 0.000307188
-3.9135185e-007, 0.000307188
-3.9125185e-007, 0.160301
-3.9115185e-007, 0.000307188
